,candle_begin_time,open,high,low,close,volume,volume_value,pos,start_time,equity_change,equity_curve
131,2005-07-22,704.61,728.52,704.23,721.45,9508556,3877378333,-1.0,2005-07-01,-0.019084669229497697,1.109783799082344
132,2005-07-25,720.61,720.99,714.68,718.87,5771020,2427919376,-1.0,2005-07-01,0.0030129909275673494,1.1131275676005403
133,2005-07-26,718.62,736.72,718.6,735.86,9191362,3765644687,-1.0,2005-07-01,-0.0211825993940552,1.089548632261579
134,2005-07-27,736.29,750.09,731.08,750.02,9472478,3880395437,0.0,,0.0,1.089548632261579
135,2005-07-28,750.4,755.94,744.02,747.23,10747152,4372350126,1.0,2005-07-28,-0.00527358259964783,1.0838028075530144
136,2005-07-29,746.59,748.38,739.4,744.82,7056953,2815158251,1.0,2005-07-28,-0.003228107692557325,1.0803041753727374
137,2005-08-01,744.77,751.05,742.9,750.49,6317943,2559324066,1.0,2005-07-28,0.007619355692757068,1.0885353971412728
138,2005-08-02,750.96,763.29,746.82,763.29,8902167,3550207898,1.0,2005-07-28,0.017070594946571704,1.107117343990877
139,2005-08-03,764.94,781.03,763.86,769.75,14083550,5550136894,1.0,2005-07-28,0.008470715729964162,1.1164954202915367
140,2005-08-04,767.57,769.34,761.36,765.26,8661785,3626523924,1.0,2005-07-28,-0.0058380880251490685,1.109977221748199
141,2005-08-05,765.39,787.93,765.39,787.82,12490263,5533624993,1.0,2005-07-28,0.029505723793904037,1.1427279030706263
142,2005-08-08,792.4,805.6,790.18,800.12,15361394,7002623029,1.0,2005-07-28,0.015625845402751137,1.1605839926214179
143,2005-08-09,800.84,814.26,794.18,814.19,14016401,6101487287,1.0,2005-07-28,0.017599436592652618,1.1810096170100062
144,2005-08-10,814.76,823.99,804.52,823.84,15201123,6584951194,1.0,2005-07-28,0.011861923616296455,1.1950186628770905
145,2005-08-11,823.72,833.68,820.29,832.84,16463304,7294366339,1.0,2005-07-28,0.01093324462998102,1.2080840942557185
146,2005-08-12,833.46,839.52,811.38,816.39,17643087,7822259553,1.0,2005-07-28,-0.019767419540151376,1.1842033891247818
147,2005-08-15,814.84,839.68,814.56,839.67,12625261,5910134742,1.0,2005-07-28,0.028538945372969415,1.2179993049574993
148,2005-08-16,841.32,846.66,830.73,839.26,15515941,7207373072,1.0,2005-07-28,-0.0004886726803569053,1.2174041019724728
149,2005-08-17,837.9,854.61,823.44,854.53,16792375,7512966671,1.0,2005-07-28,0.018208975860868337,1.2395717838782117
150,2005-08-18,855.88,865.69,819.88,820.66,21332120,9560360288,1.0,2005-07-28,-0.03966658007310753,1.1904022104566419
151,2005-08-19,816.96,828.12,803.28,820.87,13860548,6154915639,1.0,2005-07-28,0.0002560983697974528,1.190707070522143
152,2005-08-22,819.48,833.27,817.16,831.5,9724413,4163217016,1.0,2005-07-28,0.012960136506109832,1.2061387966949
153,2005-08-23,830.74,830.74,809.46,816.91,9183851,3972885901,1.0,2005-07-28,-0.0175605958761903,1.1849582807155463
154,2005-08-24,816.74,826.73,816.61,826.72,8841058,3843597951,1.0,2005-07-28,0.012018414854322756,1.1991996009182508
155,2005-08-25,827.01,836.58,821.58,836.42,10375849,4467612011,1.0,2005-07-28,0.011742525252829372,1.2132812325152162
156,2005-08-26,837.41,842.3,830.58,840.43,11880801,5071290126,1.0,2005-07-28,0.004798043009706543,1.219102608051694
157,2005-08-29,839.3,840.04,826.36,832.25,10782557,4519192344,1.0,2005-07-28,-0.009740792391177866,1.207227582643119
158,2005-08-30,831.49,834.21,827.09,827.55,9242036,4041234187,1.0,2005-07-28,-0.005651841216136599,1.2004045240342796
159,2005-08-31,827.23,845.15,822.17,845.14,11349943,4923412337,1.0,2005-07-28,0.021272545430277345,1.2259401838065092
160,2005-09-01,845.93,865.4,842.81,865.4,17034066,7438827221,1.0,2005-07-28,0.023991168685381092,1.2553519215543982
161,2005-09-02,866.55,874.16,861.48,872.48,15365548,6860942930,1.0,2005-07-28,0.008187456580670327,1.265630060905586
162,2005-09-05,873.86,884.4,871.88,884.29,12504192,5688037076,1.0,2005-07-28,0.013546414491520054,1.2827748103035408
163,2005-09-06,885.36,892.22,860.36,862.49,17050904,7680093922,1.0,2005-07-28,-0.024671031870935778,1.2511274320753085
164,2005-09-07,860.38,888.18,857.76,888.12,13957595,6427215445,1.0,2005-07-28,0.029739133027735898,1.2883348772124457
