,candle_begin_time,open,high,low,close,volume,volume_value,pos,start_time,equity_change,equity_curve
28,2005-02-22,982.42,1008.67,980.5,1007.69,9575789,5328306279,0.0,,0.0,0.9543886067508606
29,2005-02-23,1008.29,1023.33,1002.8,1019.26,10201823,5822771921,1.0,2005-02-23,0.009827990626781968,0.9637683290323156
30,2005-02-24,1018.29,1024.87,1012.44,1024.45,8683233,4874675166,1.0,2005-02-23,0.005096317439968967,0.9686799983756527
31,2005-02-25,1024.57,1035.47,1023.74,1024.12,9650761,5608389732,1.0,2005-02-23,-0.00032240025140783946,0.9683676957006426
32,2005-02-28,1023.19,1026.04,1014.94,1020.85,7028052,4174609104,1.0,2005-02-23,-0.0031957237024370366,0.9652730601028178
33,2005-03-01,1020.6,1023.96,1011.56,1021.16,6675637,3803211754,1.0,2005-02-23,0.000303929791772628,0.9655664353429786
34,2005-03-02,1021.36,1028.33,1005.34,1006.15,7457971,4197819828,1.0,2005-02-23,-0.014711613136377477,0.9513613954887417
35,2005-03-03,1004.1,1011.7,996.36,1011.29,5372494,2991525954,1.0,2005-02-23,0.005113041983078714,0.9562257462449559
36,2005-03-04,1011.2,1012.66,1001.85,1003.21,4525189,2551598958,1.0,2005-02-23,-0.007996734776340775,0.9485790625659265
37,2005-03-07,1004.34,1008.36,1001.86,1006.95,4475141,2595513439,1.0,2005-02-23,0.0037312971121292726,0.952118492882705
38,2005-03-08,1007.68,1029.46,1007.68,1029.46,7187008,4502177472,1.0,2005-02-23,0.022374135238298898,0.9734213208053479
39,2005-03-09,1031.6,1034.62,1024.89,1032.55,8257823,5012633412,1.0,2005-02-23,0.003004134614355669,0.9763456094895311
40,2005-03-10,1032.27,1032.27,1002.41,1005.54,7106020,4259483416,1.0,2005-02-23,-0.026180791427997563,0.9507841087258445
41,2005-03-11,1003.78,1010.86,999.11,1009.43,5955311,3681413477,1.0,2005-02-23,0.0038719474214603533,0.954465494803991
42,2005-03-14,1009.18,1016.54,991.06,1007.77,7550503,4838849569,1.0,2005-02-23,-0.002576201393462374,0.9520065994662652
43,2005-03-15,1007.89,1007.89,992.02,993.83,6499568,4049428975,0.0,,0.0,0.9520065994662652
44,2005-03-16,992.64,992.64,977.13,983.92,5311965,3199203625,-1.0,2005-03-16,0.007733057630950446,0.959368521364983
45,2005-03-17,983.11,984.25,970.34,970.97,5313307,3178910836,-1.0,2005-03-16,0.012943149876082138,0.9717857719234052
46,2005-03-18,969.12,973.1,945.6,949.51,5393917,3123548577,-1.0,2005-03-16,0.021174582570308242,0.9923629299916481
47,2005-03-21,947.57,952.76,940.09,949.55,4192190,2502435568,-1.0,2005-03-16,-3.864961166932801e-05,0.9923245755497689
48,2005-03-22,948.78,949.07,918.09,922.56,5795013,3283723310,-1.0,2005-03-16,0.026079833449371037,1.0182042352078247
49,2005-03-23,921.07,937.68,914.54,923.19,5290283,3122090437,-1.0,2005-03-16,-0.000593282210690993,1.0176001527482257
50,2005-03-24,922.18,933.92,914.65,933.35,4319201,2510676346,-1.0,2005-03-16,-0.009573532601219847,1.0078581245108842
51,2005-03-25,933.17,936.12,927.18,931.42,4189845,2271998365,-1.0,2005-03-16,0.0018361729450502295,1.00970872633156
52,2005-03-28,930.17,930.17,909.17,922.92,4019570,2155906688,-1.0,2005-03-16,0.008071950540590178,1.0178590452309106
53,2005-03-29,922.66,929.45,916.65,916.81,3698567,1999394257,-1.0,2005-03-16,0.005755847064004449,1.0237176862279733
54,2005-03-30,915.09,915.09,887.98,888.95,4689496,2457661169,-1.0,2005-03-16,0.026094956772077627,1.0504315549969037
55,2005-03-31,887.07,896.41,880.88,896.07,4125614,2042255429,-1.0,2005-03-16,-0.006499319848150331,1.043604464342389
56,2005-04-01,895.23,934.55,884.63,927.55,6921793,3665270899,-1.0,2005-03-16,-0.028923741503949163,1.0134195185833823
57,2005-04-04,919.14,920.62,904.62,909.87,5333838,2893226429,-1.0,2005-03-16,0.016728179199021698,1.0303721818940315
58,2005-04-05,908.19,912.38,899.8,901.74,4572503,2391142553,-1.0,2005-03-16,0.007565751918532371,1.0381677222059986
59,2005-04-06,901.74,921.64,893.03,918.56,6805028,3830190110,-1.0,2005-03-16,-0.01553510330293617,1.0220396793957545
60,2005-04-07,919.24,945.57,917.63,932.33,9540235,5349441629,-1.0,2005-03-16,-0.013311331480019728,1.0084349704375846
61,2005-04-08,931.77,949.47,928.06,949.46,7997381,4357191759,0.0,,0.0,1.0084349704375846
62,2005-04-11,949.85,957.34,943.72,948.51,8688242,4741992562,1.0,2005-04-11,-0.0024598692281069257,1.0059543522852583
63,2005-04-12,947.11,947.11,927.11,927.41,6039967,3247372938,1.0,2005-04-11,-0.022260397667227094,0.9835614083683106
64,2005-04-13,932.31,951.2,932.31,950.23,8141086,4490048505,1.0,2005-04-11,0.024623109535471865,1.0077797486614266
65,2005-04-14,952.54,954.14,934.13,935.42,6983688,3795040134,1.0,2005-04-11,-0.015596177479509254,0.9920622368410478
66,2005-04-15,931.67,931.67,911.32,913.27,6661597,3459646367,1.0,2005-04-11,-0.027264536902257053,0.9650141193753593
67,2005-04-18,910.89,910.89,895.27,901.12,5003269,2575525210,0.0,,0.0,0.9650141193753593
68,2005-04-19,899.93,905.05,893.29,902.79,4798603,2427298091,-1.0,2005-04-19,-0.004226462374087747,0.960935523509356
69,2005-04-20,902.22,902.22,880.93,884.08,5321650,2598639279,-1.0,2005-04-19,0.02087127967825908,0.9809914775732941
70,2005-04-21,881.68,886.44,863.14,867.33,6250349,3136724162,-1.0,2005-04-19,0.01830286665497005,0.9989464337769801
71,2005-04-22,865.82,870.0,851.34,857.4,6224885,3135517460,-1.0,2005-04-19,0.010655567546209221,1.0095907749771356
72,2005-04-25,846.14,847.81,829.55,841.06,5819862,2874936589,-1.0,2005-04-19,0.017349070719989257,1.0271062367304626
73,2005-04-26,839.25,858.11,835.86,855.24,6199955,2916330757,-1.0,2005-04-19,-0.01479893297571655,1.0119061603741482
74,2005-04-27,857.95,857.95,839.56,839.95,5943655,2978917961,-1.0,2005-04-19,0.016197082127926477,1.0282960875594829
75,2005-04-28,837.38,863.45,825.51,860.62,7643112,3771427201,-1.0,2005-04-19,-0.021547249077624064,1.0061391356352924
76,2005-04-29,860.39,860.39,845.44,847.61,6013685,2897477422,-1.0,2005-04-19,0.01386081583782195,1.0200850449015586
77,2005-05-09,848.09,851.21,818.1,818.4,4206100,2068561512,-1.0,2005-04-19,0.030694793439386414,1.051396344645419
78,2005-05-10,814.77,818.5,791.1,818.09,4946936,2367569440,-1.0,2005-04-19,0.0003160565315554198,1.0517286453273977
79,2005-05-11,816.82,822.77,809.58,811.57,4637579,2279227682,-1.0,2005-04-19,0.006645282249790219,1.0587176790257877
80,2005-05-12,810.16,814.89,799.82,807.51,4597105,2220225105,-1.0,2005-04-19,0.004110696441983919,1.0630697460220244
81,2005-05-13,806.73,819.42,801.87,814.88,5197528,2399090157,-1.0,2005-04-19,-0.007431479222491322,1.0551695652924027
82,2005-05-16,814.06,814.06,802.82,808.17,4537503,2010607218,-1.0,2005-04-19,0.006816631274158658,1.0623622671507154
